===== CUSTOMER RETENTION ANALYSIS =====
Cohort: 2024-08-01 | Activity Month: 2024-08-01 | Active Customers: 39 | Cohort Size: 39 | Retention: 100.0%
Cohort: 2024-09-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2024-10-01 | Activity Month: 2024-10-01 | Active Customers: 32 | Cohort Size: 32 | Retention: 100.0%
Cohort: 2024-10-01 | Activity Month: 2024-11-01 | Active Customers: 1 | Cohort Size: 32 | Retention: 3.13%
Cohort: 2024-10-01 | Activity Month: 2024-12-01 | Active Customers: 6 | Cohort Size: 32 | Retention: 18.75%
Cohort: 2024-10-01 | Activity Month: 2025-01-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2025-02-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2025-03-01 | Active Customers: 2 | Cohort Size: 32 | Retention: 6.25%
Cohort: 2024-10-01 | Activity Month: 2025-04-01 | Active Customers: 1 | Cohort Size: 32 | Retention: 3.13%
Cohort: 2024-10-01 | Activity Month: 2025-05-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2025-06-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2025-07-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2025-08-01 | Active Customers: 5 | Cohort Size: 32 | Retention: 15.63%
Cohort: 2024-10-01 | Activity Month: 2025-09-01 | Active Customers: 3 | Cohort Size: 32 | Retention: 9.38%
Cohort: 2024-10-01 | Activity Month: 2025-10-01 | Active Customers: 2 | Cohort Size: 32 | Retention: 6.25%
Cohort: 2024-10-01 | Activity Month: 2025-11-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2025-12-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2026-02-01 | Active Customers: 1 | Cohort Size: 32 | Retention: 3.13%
Cohort: 2024-10-01 | Activity Month: 2026-03-01 | Active Customers: 3 | Cohort Size: 32 | Retention: 9.38%
Cohort: 2024-10-01 | Activity Month: 2026-04-01 | Active Customers: 4 | Cohort Size: 32 | Retention: 12.5%
Cohort: 2024-10-01 | Activity Month: 2026-05-01 | Active Customers: 2 | Cohort Size: 32 | Retention: 6.25%
Cohort: 2024-10-01 | Activity Month: 2026-06-01 | Active Customers: 3 | Cohort Size: 32 | Retention: 9.38%
Cohort: 2024-10-01 | Activity Month: 2026-07-01 | Active Customers: 3 | Cohort Size: 32 | Retention: 9.38%
Cohort: 2024-11-01 | Activity Month: 2024-11-01 | Active Customers: 25 | Cohort Size: 25 | Retention: 100.0%
Cohort: 2024-11-01 | Activity Month: 2024-12-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-11-01 | Activity Month: 2025-01-01 | Active Customers: 3 | Cohort Size: 25 | Retention: 12.0%
Cohort: 2024-11-01 | Activity Month: 2025-03-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-11-01 | Activity Month: 2025-04-01 | Active Customers: 4 | Cohort Size: 25 | Retention: 16.0%
Cohort: 2024-11-01 | Activity Month: 2025-05-01 | Active Customers: 3 | Cohort Size: 25 | Retention: 12.0%
Cohort: 2024-11-01 | Activity Month: 2025-06-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-11-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 25 | Retention: 8.0%
Cohort: 2024-11-01 | Activity Month: 2025-09-01 | Active Customers: 2 | Cohort Size: 25 | Retention: 8.0%
Cohort: 2024-11-01 | Activity Month: 2025-10-01 | Active Customers: 3 | Cohort Size: 25 | Retention: 12.0%
Cohort: 2024-11-01 | Activity Month: 2025-11-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-11-01 | Activity Month: 2025-12-01 | Active Customers: 2 | Cohort Size: 25 | Retention: 8.0%
Cohort: 2024-11-01 | Activity Month: 2026-01-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-11-01 | Activity Month: 2026-02-01 | Active Customers: 2 | Cohort Size: 25 | Retention: 8.0%
Cohort: 2024-11-01 | Activity Month: 2026-04-01 | Active Customers: 3 | Cohort Size: 25 | Retention: 12.0%
Cohort: 2024-11-01 | Activity Month: 2026-05-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-11-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-11-01 | Activity Month: 2026-08-01 | Active Customers: 1 | Cohort Size: 25 | Retention: 4.0%
Cohort: 2024-12-01 | Activity Month: 2024-12-01 | Active Customers: 36 | Cohort Size: 36 | Retention: 100.0%
Cohort: 2024-12-01 | Activity Month: 2025-01-01 | Active Customers: 3 | Cohort Size: 36 | Retention: 8.33%
Cohort: 2024-12-01 | Activity Month: 2025-02-01 | Active Customers: 3 | Cohort Size: 36 | Retention: 8.33%
Cohort: 2024-12-01 | Activity Month: 2025-03-01 | Active Customers: 1 | Cohort Size: 36 | Retention: 2.78%
Cohort: 2024-12-01 | Activity Month: 2025-04-01 | Active Customers: 4 | Cohort Size: 36 | Retention: 11.11%
Cohort: 2024-12-01 | Activity Month: 2025-05-01 | Active Customers: 2 | Cohort Size: 36 | Retention: 5.56%
Cohort: 2024-12-01 | Activity Month: 2025-06-01 | Active Customers: 4 | Cohort Size: 36 | Retention: 11.11%
Cohort: 2024-12-01 | Activity Month: 2025-07-01 | Active Customers: 3 | Cohort Size: 36 | Retention: 8.33%
Cohort: 2024-12-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 36 | Retention: 5.56%
Cohort: 2024-12-01 | Activity Month: 2025-09-01 | Active Customers: 6 | Cohort Size: 36 | Retention: 16.67%
Cohort: 2024-12-01 | Activity Month: 2025-10-01 | Active Customers: 2 | Cohort Size: 36 | Retention: 5.56%
Cohort: 2024-12-01 | Activity Month: 2025-11-01 | Active Customers: 3 | Cohort Size: 36 | Retention: 8.33%
Cohort: 2024-12-01 | Activity Month: 2025-12-01 | Active Customers: 3 | Cohort Size: 36 | Retention: 8.33%
Cohort: 2024-12-01 | Activity Month: 2026-01-01 | Active Customers: 5 | Cohort Size: 36 | Retention: 13.89%
Cohort: 2024-12-01 | Activity Month: 2026-02-01 | Active Customers: 3 | Cohort Size: 36 | Retention: 8.33%
Cohort: 2024-12-01 | Activity Month: 2026-03-01 | Active Customers: 6 | Cohort Size: 36 | Retention: 16.67%
Cohort: 2024-12-01 | Activity Month: 2026-04-01 | Active Customers: 5 | Cohort Size: 36 | Retention: 13.89%
Cohort: 2024-12-01 | Activity Month: 2026-06-01 | Active Customers: 3 | Cohort Size: 36 | Retention: 8.33%
Cohort: 2024-12-01 | Activity Month: 2026-07-01 | Active Customers: 2 | Cohort Size: 36 | Retention: 5.56%
Cohort: 2025-01-01 | Activity Month: 2025-01-01 | Active Customers: 20 | Cohort Size: 20 | Retention: 100.0%
Cohort: 2025-01-01 | Activity Month: 2025-02-01 | Active Customers: 5 | Cohort Size: 20 | Retention: 25.0%
Cohort: 2025-01-01 | Activity Month: 2025-03-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-01-01 | Activity Month: 2025-05-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-01-01 | Activity Month: 2025-06-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-01-01 | Activity Month: 2025-07-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-01-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-01-01 | Activity Month: 2025-09-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-01-01 | Activity Month: 2026-01-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-01-01 | Activity Month: 2026-03-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-01-01 | Activity Month: 2026-04-01 | Active Customers: 3 | Cohort Size: 20 | Retention: 15.0%
Cohort: 2025-01-01 | Activity Month: 2026-05-01 | Active Customers: 3 | Cohort Size: 20 | Retention: 15.0%
Cohort: 2025-01-01 | Activity Month: 2026-07-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-02-01 | Activity Month: 2025-02-01 | Active Customers: 24 | Cohort Size: 24 | Retention: 100.0%
Cohort: 2025-02-01 | Activity Month: 2025-03-01 | Active Customers: 3 | Cohort Size: 24 | Retention: 12.5%
Cohort: 2025-02-01 | Activity Month: 2025-05-01 | Active Customers: 3 | Cohort Size: 24 | Retention: 12.5%
Cohort: 2025-02-01 | Activity Month: 2025-06-01 | Active Customers: 1 | Cohort Size: 24 | Retention: 4.17%
Cohort: 2025-02-01 | Activity Month: 2025-07-01 | Active Customers: 3 | Cohort Size: 24 | Retention: 12.5%
Cohort: 2025-02-01 | Activity Month: 2025-08-01 | Active Customers: 4 | Cohort Size: 24 | Retention: 16.67%
Cohort: 2025-02-01 | Activity Month: 2025-09-01 | Active Customers: 2 | Cohort Size: 24 | Retention: 8.33%
Cohort: 2025-02-01 | Activity Month: 2025-10-01 | Active Customers: 2 | Cohort Size: 24 | Retention: 8.33%
Cohort: 2025-02-01 | Activity Month: 2025-12-01 | Active Customers: 1 | Cohort Size: 24 | Retention: 4.17%
Cohort: 2025-02-01 | Activity Month: 2026-01-01 | Active Customers: 1 | Cohort Size: 24 | Retention: 4.17%
Cohort: 2025-02-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 24 | Retention: 4.17%
Cohort: 2025-02-01 | Activity Month: 2026-04-01 | Active Customers: 1 | Cohort Size: 24 | Retention: 4.17%
Cohort: 2025-02-01 | Activity Month: 2026-06-01 | Active Customers: 2 | Cohort Size: 24 | Retention: 8.33%
Cohort: 2025-02-01 | Activity Month: 2026-08-01 | Active Customers: 3 | Cohort Size: 24 | Retention: 12.5%
Cohort: 2025-03-01 | Activity Month: 2025-03-01 | Active Customers: 20 | Cohort Size: 20 | Retention: 100.0%
Cohort: 2025-03-01 | Activity Month: 2025-04-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-03-01 | Activity Month: 2025-05-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-03-01 | Activity Month: 2025-06-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-03-01 | Activity Month: 2025-07-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-03-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-03-01 | Activity Month: 2025-09-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-03-01 | Activity Month: 2025-10-01 | Active Customers: 4 | Cohort Size: 20 | Retention: 20.0%
Cohort: 2025-03-01 | Activity Month: 2025-11-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-03-01 | Activity Month: 2025-12-01 | Active Customers: 3 | Cohort Size: 20 | Retention: 15.0%
Cohort: 2025-03-01 | Activity Month: 2026-01-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-03-01 | Activity Month: 2026-02-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-03-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-03-01 | Activity Month: 2026-04-01 | Active Customers: 2 | Cohort Size: 20 | Retention: 10.0%
Cohort: 2025-03-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-03-01 | Activity Month: 2026-08-01 | Active Customers: 1 | Cohort Size: 20 | Retention: 5.0%
Cohort: 2025-04-01 | Activity Month: 2025-04-01 | Active Customers: 18 | Cohort Size: 18 | Retention: 100.0%
Cohort: 2025-04-01 | Activity Month: 2025-05-01 | Active Customers: 3 | Cohort Size: 18 | Retention: 16.67%
Cohort: 2025-04-01 | Activity Month: 2025-06-01 | Active Customers: 1 | Cohort Size: 18 | Retention: 5.56%
Cohort: 2025-04-01 | Activity Month: 2025-07-01 | Active Customers: 1 | Cohort Size: 18 | Retention: 5.56%
Cohort: 2025-04-01 | Activity Month: 2025-08-01 | Active Customers: 1 | Cohort Size: 18 | Retention: 5.56%
Cohort: 2025-04-01 | Activity Month: 2025-09-01 | Active Customers: 2 | Cohort Size: 18 | Retention: 11.11%
Cohort: 2025-04-01 | Activity Month: 2025-10-01 | Active Customers: 2 | Cohort Size: 18 | Retention: 11.11%
Cohort: 2025-04-01 | Activity Month: 2025-11-01 | Active Customers: 2 | Cohort Size: 18 | Retention: 11.11%
Cohort: 2025-04-01 | Activity Month: 2026-01-01 | Active Customers: 3 | Cohort Size: 18 | Retention: 16.67%
Cohort: 2025-04-01 | Activity Month: 2026-02-01 | Active Customers: 1 | Cohort Size: 18 | Retention: 5.56%
Cohort: 2025-04-01 | Activity Month: 2026-04-01 | Active Customers: 2 | Cohort Size: 18 | Retention: 11.11%
Cohort: 2025-04-01 | Activity Month: 2026-05-01 | Active Customers: 3 | Cohort Size: 18 | Retention: 16.67%
Cohort: 2025-04-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 18 | Retention: 5.56%
Cohort: 2025-05-01 | Activity Month: 2025-05-01 | Active Customers: 26 | Cohort Size: 26 | Retention: 100.0%
Cohort: 2025-05-01 | Activity Month: 2025-06-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2025-05-01 | Activity Month: 2025-07-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2025-05-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2025-05-01 | Activity Month: 2025-09-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2025-05-01 | Activity Month: 2025-10-01 | Active Customers: 3 | Cohort Size: 26 | Retention: 11.54%
Cohort: 2025-05-01 | Activity Month: 2025-11-01 | Active Customers: 3 | Cohort Size: 26 | Retention: 11.54%
Cohort: 2025-05-01 | Activity Month: 2025-12-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2025-05-01 | Activity Month: 2026-01-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2025-05-01 | Activity Month: 2026-02-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2025-05-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2025-05-01 | Activity Month: 2026-04-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2025-05-01 | Activity Month: 2026-05-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2025-05-01 | Activity Month: 2026-06-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2025-05-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2025-05-01 | Activity Month: 2026-08-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2025-06-01 | Activity Month: 2025-06-01 | Active Customers: 23 | Cohort Size: 23 | Retention: 100.0%
Cohort: 2025-06-01 | Activity Month: 2025-07-01 | Active Customers: 2 | Cohort Size: 23 | Retention: 8.7%
Cohort: 2025-06-01 | Activity Month: 2025-08-01 | Active Customers: 6 | Cohort Size: 23 | Retention: 26.09%
Cohort: 2025-06-01 | Activity Month: 2025-09-01 | Active Customers: 2 | Cohort Size: 23 | Retention: 8.7%
Cohort: 2025-06-01 | Activity Month: 2025-10-01 | Active Customers: 1 | Cohort Size: 23 | Retention: 4.35%
Cohort: 2025-06-01 | Activity Month: 2025-11-01 | Active Customers: 1 | Cohort Size: 23 | Retention: 4.35%
Cohort: 2025-06-01 | Activity Month: 2025-12-01 | Active Customers: 2 | Cohort Size: 23 | Retention: 8.7%
Cohort: 2025-06-01 | Activity Month: 2026-01-01 | Active Customers: 1 | Cohort Size: 23 | Retention: 4.35%
Cohort: 2025-06-01 | Activity Month: 2026-02-01 | Active Customers: 1 | Cohort Size: 23 | Retention: 4.35%
Cohort: 2025-06-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 23 | Retention: 4.35%
Cohort: 2025-06-01 | Activity Month: 2026-04-01 | Active Customers: 3 | Cohort Size: 23 | Retention: 13.04%
Cohort: 2025-06-01 | Activity Month: 2026-05-01 | Active Customers: 3 | Cohort Size: 23 | Retention: 13.04%
Cohort: 2025-06-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 23 | Retention: 4.35%
Cohort: 2025-06-01 | Activity Month: 2026-07-01 | Active Customers: 3 | Cohort Size: 23 | Retention: 13.04%
Cohort: 2025-07-01 | Activity Month: 2025-07-01 | Active Customers: 15 | Cohort Size: 15 | Retention: 100.0%
Cohort: 2025-07-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 15 | Retention: 13.33%
Cohort: 2025-07-01 | Activity Month: 2025-09-01 | Active Customers: 4 | Cohort Size: 15 | Retention: 26.67%
Cohort: 2025-07-01 | Activity Month: 2025-10-01 | Active Customers: 1 | Cohort Size: 15 | Retention: 6.67%
Cohort: 2025-07-01 | Activity Month: 2025-11-01 | Active Customers: 1 | Cohort Size: 15 | Retention: 6.67%
Cohort: 2025-07-01 | Activity Month: 2025-12-01 | Active Customers: 2 | Cohort Size: 15 | Retention: 13.33%
Cohort: 2025-07-01 | Activity Month: 2026-02-01 | Active Customers: 3 | Cohort Size: 15 | Retention: 20.0%
Cohort: 2025-07-01 | Activity Month: 2026-03-01 | Active Customers: 2 | Cohort Size: 15 | Retention: 13.33%
Cohort: 2025-07-01 | Activity Month: 2026-05-01 | Active Customers: 1 | Cohort Size: 15 | Retention: 6.67%
Cohort: 2025-07-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 15 | Retention: 6.67%
Cohort: 2025-07-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 15 | Retention: 6.67%
Cohort: 2025-08-01 | Activity Month: 2025-08-01 | Active Customers: 8 | Cohort Size: 8 | Retention: 100.0%
Cohort: 2025-08-01 | Activity Month: 2025-09-01 | Active Customers: 1 | Cohort Size: 8 | Retention: 12.5%
Cohort: 2025-08-01 | Activity Month: 2025-12-01 | Active Customers: 1 | Cohort Size: 8 | Retention: 12.5%
Cohort: 2025-08-01 | Activity Month: 2026-01-01 | Active Customers: 1 | Cohort Size: 8 | Retention: 12.5%
Cohort: 2025-08-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 8 | Retention: 12.5%
Cohort: 2025-08-01 | Activity Month: 2026-04-01 | Active Customers: 1 | Cohort Size: 8 | Retention: 12.5%
Cohort: 2025-08-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 8 | Retention: 12.5%
Cohort: 2025-09-01 | Activity Month: 2025-09-01 | Active Customers: 11 | Cohort Size: 11 | Retention: 100.0%
Cohort: 2025-09-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2025-09-01 | Activity Month: 2026-04-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2025-09-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2025-09-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2025-10-01 | Activity Month: 2025-10-01 | Active Customers: 13 | Cohort Size: 13 | Retention: 100.0%
Cohort: 2025-10-01 | Activity Month: 2025-11-01 | Active Customers: 1 | Cohort Size: 13 | Retention: 7.69%
Cohort: 2025-10-01 | Activity Month: 2026-01-01 | Active Customers: 2 | Cohort Size: 13 | Retention: 15.38%
Cohort: 2025-10-01 | Activity Month: 2026-02-01 | Active Customers: 2 | Cohort Size: 13 | Retention: 15.38%
Cohort: 2025-10-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 13 | Retention: 7.69%
Cohort: 2025-10-01 | Activity Month: 2026-05-01 | Active Customers: 1 | Cohort Size: 13 | Retention: 7.69%
Cohort: 2025-10-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 13 | Retention: 7.69%
Cohort: 2025-11-01 | Activity Month: 2025-11-01 | Active Customers: 13 | Cohort Size: 13 | Retention: 100.0%
Cohort: 2025-11-01 | Activity Month: 2025-12-01 | Active Customers: 2 | Cohort Size: 13 | Retention: 15.38%
Cohort: 2025-11-01 | Activity Month: 2026-01-01 | Active Customers: 2 | Cohort Size: 13 | Retention: 15.38%
Cohort: 2025-11-01 | Activity Month: 2026-03-01 | Active Customers: 3 | Cohort Size: 13 | Retention: 23.08%
Cohort: 2025-11-01 | Activity Month: 2026-04-01 | Active Customers: 1 | Cohort Size: 13 | Retention: 7.69%
Cohort: 2025-11-01 | Activity Month: 2026-05-01 | Active Customers: 1 | Cohort Size: 13 | Retention: 7.69%
Cohort: 2025-11-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 13 | Retention: 7.69%
Cohort: 2025-11-01 | Activity Month: 2026-07-01 | Active Customers: 3 | Cohort Size: 13 | Retention: 23.08%
Cohort: 2025-12-01 | Activity Month: 2025-12-01 | Active Customers: 11 | Cohort Size: 11 | Retention: 100.0%
Cohort: 2025-12-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
