product_id,product_name,category,subcategory,cost_price
P0136,Curtains,Home,Building,3912.81
P0137,Table,Home,Course,4026.17
P0138,Jacket,Clothing,Remain,2454.89
P0139,Notebook,Books,Successful,3585.86
P0140,Headphones,Electronics,Our,885.53
P0141,Sofa,Home,Together,2243.62
P0142,Shoes,Clothing,Arm,4659.31
P0143,Chair,Home,Today,1932.41
P0144,Chair,Home,Society,238.12
P0145,Speaker,Electronics,Work,3977.77
P0146,T-Shirt,Clothing,Often,4165.83
P0147,Shoes,Clothing,Main,125.73
P0148,Laptop,Electronics,Quite,4191.32
P0149,Chair,Home,Often,1264.44
P0150,Laptop,Electronics,Baby,3230.86
P0151,Chair,Home,Fill,4535.22
P0152,Speaker,Electronics,Remain,1285.5
P0153,Jacket,Clothing,Audience,3112.57
P0154,Cap,Clothing,Enough,3355.42
P0155,Mouse,Electronics,Billion,431.63
P0156,Keyboard,Electronics,Decade,313.32
P0157,Lamp,Home,She,179.59
P0158,Headphones,Electronics,Partner,3319.81
P0159,Mouse,Electronics,Message,1729.34
P0160,Headphones,Electronics,Give,4086.19
P0161,Shoes,Clothing,Heavy,2444.8
P0162,Jeans,Clothing,Career,3903.33
P0163,Chair,Home,Remain,314.65
P0164,T-Shirt,Clothing,Reality,1619.37
P0165,Sofa,Home,Easy,279.44
P0166,Jacket,Clothing,Black,3926.12
P0167,Python Book,Books,Feel,1903.29
P0168,Curtains,Home,President,1994.56
P0169,Shoes,Clothing,Available,1900.0
P0170,Novel,Books,We,486.74
P0171,Cap,Clothing,Daughter,602.73
P0172,Python Book,Books,Friend,3052.85
P0173,Table,Home,Mention,1822.58
P0174,Speaker,Electronics,Little,1827.54
P0175,Lamp,Home,Get,3978.24
P0176,Laptop,Electronics,Practice,2090.43
P0177,T-Shirt,Clothing,Receive,3077.11
P0178,Chair,Home,Follow,1256.38
P0179,Python Book,Books,Rule,2879.5
P0180,Shoes,Clothing,Pattern,1922.87
P0181,Mouse,Electronics,Claim,1898.05
P0182,Python Book,Books,Others,655.9
P0183,Shoes,Clothing,Our,4576.36
P0184,Headphones,Electronics,His,3549.79
P0185,Cap,Clothing,System,4590.75
P0186,Table,Home,Four,4278.85
P0187,Table,Home,Later,2281.04
P0188,Speaker,Electronics,Concern,4934.22
P0189,Novel,Books,Above,1522.78
P0190,Dictionary,Books,Form,4643.89
P0191,Jacket,Clothing,Employee,694.68
P0192,Jeans,Clothing,Stock,2520.71
P0193,Notebook,Books,Do,2390.29
P0194,Cap,Clothing,Seem,422.17
P0195,Curtains,Home,Sister,3868.91
P0196,Smartphone,Electronics,Put,3247.46
P0197,Curtains,Home,Least,1788.12
P0198,Jeans,Clothing,Factor,4562.49
P0199,Laptop,Electronics,Though,1590.21
P0200,Jacket,Clothing,Here,1204.8
P0201,Novel,Books,Center,3211.78
P0202,Dictionary,Books,Respond,3110.7
P0203,Mouse,Electronics,Significant,2999.86
P0204,Jeans,Clothing,Glass,3631.1
P0205,Notebook,Books,Understand,4332.53
P0206,Laptop,Electronics,Media,3878.01
P0207,Dictionary,Books,Maintain,2141.28
P0208,Keyboard,Electronics,Like,2773.33
P0209,Sql Guide,Books,Her,4056.01
P0210,Lamp,Home,Stage,3474.21
P0211,Shoes,Clothing,Focus,2375.77
P0212,Notebook,Books,Message,4321.28
P0213,Python Book,Books,Ok,740.75
P0214,Notebook,Books,Boy,1663.67
P0215,Chair,Home,Continue,1314.8
P0216,Laptop,Electronics,Race,1982.33
P0217,Table,Home,Policy,4521.32
P0218,Notebook,Books,Beat,1030.19
P0219,Shoes,Clothing,Thought,2387.39
P0220,Sql Guide,Books,Fast,4731.64
P0221,Table,Home,Town,1829.19
P0222,Headphones,Electronics,The,4423.46
P0223,Lamp,Home,Challenge,4251.14
P0224,Table,Home,Vote,3664.79
P0225,Lamp,Home,Nothing,350.67
P0226,Jacket,Clothing,Debate,460.31
P0227,Sofa,Home,Everyone,4946.54
P0228,Smartphone,Electronics,Similar,2030.13
P0229,Notebook,Books,Various,3799.33
P0230,Cap,Clothing,Produce,2550.38
P0231,Laptop,Electronics,Ball,1731.9
P0232,Sofa,Home,Short,3070.68
P0233,Jacket,Clothing,Bag,1660.8
P0234,Sofa,Home,Wait,1566.25
P0235,Notebook,Books,After,2708.47
P0236,Sql Guide,Books,Time,1904.95
P0237,Keyboard,Electronics,Movement,4004.1
P0238,Mouse,Electronics,Program,4838.65
P0239,T-Shirt,Clothing,Allow,935.51
P0240,Table,Home,Tax,1286.76
P0241,Smartphone,Electronics,Party,1637.09
P0242,Shoes,Clothing,Particular,2110.85
P0243,Chair,Home,Interview,2641.55
P0244,Sql Guide,Books,Specific,1637.39
P0245,Shoes,Clothing,Performance,1777.4
P0246,Python Book,Books,Difference,1042.09
P0247,Jacket,Clothing,What,1201.85
P0248,Python Book,Books,Although,3482.18
P0249,Lamp,Home,Ok,2846.39
P0250,Python Book,Books,Ever,3415.45
P0251,Curtains,Home,Of,4777.58
P0252,Jacket,Clothing,Wall,4781.04
P0253,Headphones,Electronics,Notice,3314.26
P0254,Table,Home,Marriage,2739.03
P0255,Dictionary,Books,Ready,3730.37
P0256,Jeans,Clothing,Stage,4535.4
P0257,Jeans,Clothing,Church,2125.18
P0258,Chair,Home,History,773.59
P0259,Shoes,Clothing,Including,4415.17
P0260,Curtains,Home,Dog,3803.96
P0261,Python Book,Books,Vote,389.9
P0262,Speaker,Electronics,Sport,2722.25
P0263,Smartphone,Electronics,Perform,4204.26
P0264,Keyboard,Electronics,Significant,1012.93
P0265,Novel,Books,Tough,2883.01
P0266,Headphones,Electronics,Fill,4946.59
P0267,Table,Home,Center,2393.3
P0268,T-Shirt,Clothing,Majority,3682.48
P0269,Dictionary,Books,More,1751.85
P0270,Notebook,Books,Mrs,1046.49
P0271,Curtains,Home,Believe,525.02
P0272,Smartphone,Electronics,Industry,2439.53
P0273,T-Shirt,Clothing,Himself,1254.05
P0274,Python Book,Books,Morning,3642.12
P0275,Headphones,Electronics,Action,3494.57
P0276,Speaker,Electronics,Recognize,1603.35
P0277,Sofa,Home,Edge,4450.23
P0278,Novel,Books,Thus,4709.11
P0279,Notebook,Books,Sure,4791.07
P0280,Table,Home,Positive,4945.31
P0281,Sql Guide,Books,Return,4572.7
P0282,Jeans,Clothing,Company,3019.49
P0283,Mouse,Electronics,Sometimes,3548.45
P0284,Mouse,Electronics,My,4160.99
P0285,Cap,Clothing,Challenge,906.23
P0286,Chair,Home,Like,3612.9
P0287,Chair,Home,Collection,2282.87
P0288,Keyboard,Electronics,Country,2135.58
P0289,Mouse,Electronics,Others,4053.89
P0290,Keyboard,Electronics,Others,114.78
P0291,Cap,Clothing,Receive,2176.12
P0292,Mouse,Electronics,Turn,4679.46
P0293,Keyboard,Electronics,Child,2103.45
P0294,Shoes,Clothing,Simply,4467.53
P0295,Curtains,Home,Sign,3445.38
P0296,Jacket,Clothing,Member,4964.95
P0297,Sofa,Home,Wrong,4895.75
P0298,Laptop,Electronics,Her,2368.72
P0299,Sofa,Home,Amount,1225.35
P0300,Lamp,Home,Discuss,1023.55
P0301,Laptop,Electronics,Sort,2154.28
P0302,Smartphone,Electronics,Method,594.39
P0303,Keyboard,Electronics,Each,3546.1
P0304,Smartphone,Electronics,At,2071.1
P0305,Cap,Clothing,Everything,4332.28
P0306,Smartphone,Electronics,Hope,1517.39
P0307,Notebook,Books,East,3395.41
P0308,Dictionary,Books,And,801.98
P0309,Shoes,Clothing,Relate,398.69
P0310,Shoes,Clothing,Design,329.73
P0311,Sql Guide,Books,National,1661.8
P0312,Curtains,Home,Whatever,1944.65
P0313,Table,Home,Strong,1573.61
P0314,Shoes,Clothing,Herself,2855.69
P0315,Sofa,Home,Important,2003.25
P0316,Dictionary,Books,Manager,487.45
P0317,Lamp,Home,Whose,3650.47
P0318,T-Shirt,Clothing,Look,3400.99
P0319,Laptop,Electronics,Upon,3832.31
P0320,Shoes,Clothing,Any,4544.46
P0321,Novel,Books,Among,1031.12
P0322,Speaker,Electronics,Range,2446.71
P0323,Cap,Clothing,Game,2043.5
P0324,Cap,Clothing,Board,1486.99
P0325,Sofa,Home,Score,1611.27
P0326,Notebook,Books,Near,2383.42
P0327,Lamp,Home,Property,1916.45
P0328,Chair,Home,Themselves,1184.24
P0329,T-Shirt,Clothing,Eye,4680.32
P0330,Lamp,Home,They,1716.34
P0331,Sofa,Home,Site,2546.58
P0332,Python Book,Books,Everyone,2494.24
P0333,Curtains,Home,Particular,3995.38
P0334,Jeans,Clothing,Off,2492.75
P0335,Mouse,Electronics,Over,4248.82
P0336,Laptop,Electronics,Contain,4228.47
P0337,T-Shirt,Clothing,However,144.79
P0338,Lamp,Home,Ready,3224.87
P0339,Curtains,Home,Human,2707.84
P0340,Chair,Home,History,3638.74
P0341,Novel,Books,People,3519.51
P0342,Table,Home,Ready,571.94
P0343,Jeans,Clothing,Water,2679.63
P0344,Python Book,Books,Thing,487.19
P0345,Curtains,Home,Bank,4952.14
P0346,Jacket,Clothing,Nation,4254.55
P0347,Laptop,Electronics,Enter,1948.13
P0348,Chair,Home,However,3543.94
P0349,Keyboard,Electronics,Whatever,3260.05
P0350,Notebook,Books,Dog,4871.81
P0351,Smartphone,Electronics,Name,4353.77
P0352,Lamp,Home,Into,464.31
P0353,Notebook,Books,Head,261.22
P0354,Novel,Books,Technology,2976.48
P0355,Chair,Home,Trip,2863.4
P0356,Sofa,Home,Hair,3802.49
P0357,T-Shirt,Clothing,Message,4874.18
P0358,Laptop,Electronics,Structure,4209.51
P0359,Notebook,Books,Meet,4778.81
P0360,Lamp,Home,Very,1439.3
P0361,Curtains,Home,Pm,2809.88
P0362,Curtains,Home,According,2970.79
P0363,Chair,Home,More,1547.36
P0364,T-Shirt,Clothing,Us,855.68
P0365,Shoes,Clothing,Chair,622.1
P0366,Headphones,Electronics,Less,3830.6
P0367,Smartphone,Electronics,Company,2211.8
P0368,Chair,Home,Drug,1834.18
P0369,Mouse,Electronics,Ball,1689.71
P0370,Chair,Home,My,2000.22
P0371,Speaker,Electronics,Question,4535.52
P0372,Cap,Clothing,Fast,3458.05
P0373,Jeans,Clothing,Development,1415.19
P0374,T-Shirt,Clothing,Citizen,1452.21
P0375,Sql Guide,Books,Culture,1869.51
P0376,Shoes,Clothing,Coach,1058.19
P0377,Smartphone,Electronics,High,4749.23
P0378,Notebook,Books,Play,4324.77
P0379,Lamp,Home,Series,4135.32
P0380,Jacket,Clothing,Technology,4741.67
P0381,Shoes,Clothing,By,4826.42
P0382,Python Book,Books,Recent,3201.22
P0383,Jacket,Clothing,Drug,4100.82
P0384,Lamp,Home,Join,2862.87
P0385,Cap,Clothing,Talk,3663.35
P0386,Shoes,Clothing,Give,4173.28
P0387,Keyboard,Electronics,Service,781.98
P0388,Dictionary,Books,Build,855.3
P0389,Curtains,Home,Meet,4954.43
P0390,Sofa,Home,Republican,2582.4
P0391,Sofa,Home,Measure,4845.3
P0392,Laptop,Electronics,Measure,3322.25
P0393,Dictionary,Books,Develop,317.05
P0394,Lamp,Home,Performance,2209.23
P0395,Laptop,Electronics,Color,2602.31
P0396,Shoes,Clothing,Radio,2369.01
P0397,Jacket,Clothing,These,2465.58
P0398,Sql Guide,Books,Item,520.69
P0399,Jacket,Clothing,Age,2331.13
P0400,Cap,Clothing,Either,2433.2
P0401,Curtains,Home,Animal,1571.29
P0402,Laptop,Electronics,Care,3275.05
P0403,Jeans,Clothing,Painting,2804.36
P0404,Notebook,Books,Person,2364.07
P0405,Table,Home,College,3320.81
P0406,Chair,Home,Center,4427.18
P0407,Sofa,Home,Professional,121.81
P0408,Jeans,Clothing,Music,3548.42
P0409,Mouse,Electronics,Among,4372.7
P0410,Jacket,Clothing,Vote,2342.0
P0411,Sql Guide,Books,Page,3231.63
P0412,Sofa,Home,Choice,659.74
P0413,Sql Guide,Books,Arrive,4087.32
P0414,Notebook,Books,Compare,3393.34
P0415,Novel,Books,Evening,673.05
P0416,Dictionary,Books,Win,2149.37
P0417,Cap,Clothing,Couple,1010.19
P0418,Cap,Clothing,Nation,1515.29
P0419,Jacket,Clothing,Into,3135.11
P0420,Novel,Books,Place,1056.13
P0421,Sofa,Home,Organization,2525.35
P0422,Curtains,Home,Public,2274.87
P0423,T-Shirt,Clothing,After,3999.82
P0424,Jacket,Clothing,Unit,1201.73
P0425,Dictionary,Books,Serve,2871.69
P0426,Sofa,Home,Should,2906.3
P0427,Notebook,Books,Recently,1897.62
P0428,Speaker,Electronics,Term,1170.86
P0429,Chair,Home,Federal,3302.99
P0430,Jacket,Clothing,Your,257.93
P0431,Python Book,Books,Bed,526.22
P0432,Smartphone,Electronics,Direction,3714.3
P0433,Notebook,Books,List,913.31
P0434,Jeans,Clothing,Policy,4046.66
P0435,Notebook,Books,Market,2739.97
P0436,Python Book,Books,Trip,1409.98
P0437,Smartphone,Electronics,Meet,3949.89
P0438,Headphones,Electronics,Conference,721.75
P0439,Jeans,Clothing,Discuss,1678.27
P0440,Shoes,Clothing,Then,2929.39
P0441,Sql Guide,Books,Item,470.03
P0442,Keyboard,Electronics,Plant,1463.31
P0443,Sql Guide,Books,Character,1703.72
P0444,Speaker,Electronics,Study,4863.54
P0445,Novel,Books,Pass,2048.81
P0446,Table,Home,Tend,1682.04
P0447,Python Book,Books,Speak,739.91
P0448,Lamp,Home,Court,3835.04
P0449,Laptop,Electronics,Price,4199.84
P0450,Laptop,Electronics,Receive,874.12
P0451,Chair,Home,Much,2196.22
P0452,Jacket,Clothing,Everything,4670.36
P0453,Novel,Books,Computer,1326.91
P0454,Dictionary,Books,Shake,3165.46
P0455,Shoes,Clothing,Rich,3548.12
P0456,Smartphone,Electronics,Guess,750.23
P0457,Cap,Clothing,Win,145.51
P0458,Novel,Books,Long,2169.34
P0459,Shoes,Clothing,Pick,1977.04
P0460,Laptop,Electronics,Performance,4416.85
P0461,Shoes,Clothing,Authority,3790.47
P0462,Jeans,Clothing,Drug,2860.13
P0463,Shoes,Clothing,Human,1143.97
P0464,Shoes,Clothing,Image,2267.68
P0465,T-Shirt,Clothing,Cause,786.06
P0466,Mouse,Electronics,Boy,1822.52
P0467,Lamp,Home,Admit,1314.15
P0468,Smartphone,Electronics,Degree,3040.04
P0469,Novel,Books,Necessary,3326.19
P0470,Dictionary,Books,Trade,2596.66
P0471,Lamp,Home,Where,3940.63
P0472,Shoes,Clothing,Mother,1281.3
P0473,Mouse,Electronics,Return,159.13
P0474,Python Book,Books,Kind,4317.99
P0475,Lamp,Home,The,946.57
P0476,Chair,Home,Citizen,430.91
P0477,Dictionary,Books,Police,396.3
P0478,Sofa,Home,Big,3591.88
P0479,Curtains,Home,Cost,503.9
P0480,Jacket,Clothing,Maybe,487.21
P0481,Jeans,Clothing,Week,2014.58
P0482,Headphones,Electronics,Possible,3676.8
P0483,T-Shirt,Clothing,Plan,4630.68
P0484,Keyboard,Electronics,American,369.64
P0485,T-Shirt,Clothing,Understand,772.34
P0486,Smartphone,Electronics,Step,1798.86
P0487,Dictionary,Books,Night,3773.9
P0488,Novel,Books,Most,243.85
P0489,Lamp,Home,Soldier,1388.45
P0490,Keyboard,Electronics,Buy,1864.61
P0491,Sofa,Home,Better,870.82
P0492,Mouse,Electronics,Meet,665.13
P0493,Laptop,Electronics,Receive,160.21
P0494,Keyboard,Electronics,Case,4609.11
P0495,T-Shirt,Clothing,Week,4578.34
P0496,Table,Home,Player,2139.66
P0497,Python Book,Books,Notice,2900.53
P0498,Mouse,Electronics,Their,358.09
P0499,Cap,Clothing,Ability,4774.99
P0500,Keyboard,Electronics,Watch,3890.28
