item_id,order_id,product_id,quantity,unit_price,discount_percent
I00063,O00331,P0178,1,1871.12,52
I00064,O00531,P0190,3,7058.38,46
I00065,O00906,P0419,5,5483.62,6
I00066,O00546,P0287,3,3433.38,0
I00067,O00084,P0149,4,2392.43,3
I00068,O00434,P0190,2,9111.3,31
I00069,O00319,P0333,2,4620.9,80
I00070,O00443,P0032,-1,4254.67,75
I00071,O00254,P0422,3,2723.15,30
I00072,O00842,P0099,3,679.63,30
I00073,O00635,P0092,1,1834.78,12
I00074,O00088,P0213,4,1464.52,4
I00075,O00869,P0343,4,4619.76,100
I00076,O00822,P0432,2,5563.01,38
I00077,O00068,P0443,5,2030.23,7
I00078,O00871,P0344,5,703.17,12
I00079,O00239,P0301,5,4046.01,100
I00080,O00394,P0299,-5,1859.82,54
I00081,O00348,P0327,5,3230.81,86
I00082,O00337,P0346,1,6930.8,13
I00083,O00731,P0397,-1,2862.02,24
I00084,O00522,P0398,5,692.86,53
I00085,O00456,P0118,4,451.92,17
I00086,O00320,P0111,1,3226.06,65
I00087,O00907,P0343,3,4252.65,18
I00088,O00618,P0069,2,5240.17,47
I00089,O00674,P0474,1,7385.79,7
I00090,O00856,P0394,2,3542.51,6
I00091,O01000,P0193,4,3060.37,25
I00092,O00684,P0311,1,2539.48,88
I00093,O00340,P0330,4,3204.08,72
I00094,O00429,P0188,3,6886.97,13
I00095,O00933,P0034,4,2742.79,28
I00096,O00710,P0046,1,4241.17,79
I00097,O00753,P0216,2,3551.37,42
I00098,O00189,P0141,4,4136.06,0
I00099,O00367,P0222,-3,4985.31,14
I00100,O00200,P0059,2,1049.32,97
I00101,O00031,P0025,3,2175.83,36
I00102,O00269,P0176,2,3651.88,43
I00103,O00201,P0453,5,1485.27,33
I00104,O00694,P0159,-1,2115.88,83
I00105,O00216,P0003,1,6114.68,30
I00106,O00677,P0047,3,1622.33,67
I00107,O00900,P0228,5,3532.12,15
I00108,O00134,P0039,2,6792.15,24
I00109,O00384,P0279,5,6641.17,54
I00110,O00782,P0173,2,3015.32,24
I00111,O00153,P0008,5,3083.27,6
I00112,O00872,P0118,3,555.37,74
I00113,O00084,P0181,4,3428.26,84
I00114,O00521,P0265,5,4178.36,82
I00115,O00532,P0197,5,2714.08,41
I00116,O00495,P0097,3,5456.91,63
I00117,O00411,P0359,4,8001.14,74
I00118,O00917,P0028,1,6062.71,30
I00119,O00436,P0018,4,6699.72,73
I00120,O00384,P0489,2,1845.36,10
I00121,O00303,P0159,2,2594.1,45
I00122,O00477,P0407,2,190.15,43
I00123,O00443,P0018,4,5177.06,63
I00124,O00026,P0297,3,6176.52,29
I00125,O00368,P0231,3,3310.23,37
I00126,O00660,P0066,5,4301.13,35
I00127,O00074,P0369,2,2406.51,69
I00128,O00692,P0498,2,500.01,38
I00129,O00619,P0387,3,1562.55,96
I00130,O00009,P0228,5,3640.16,36
I00131,O00414,P0238,3,9441.34,74
I00132,O00525,P0364,1,1703.1,19
I00133,O00741,P0181,4,3367.56,60
I00134,O00805,P0095,2,3325.16,59
I00135,O00088,P0397,4,3406.86,24
I00136,O00715,P0281,4,6748.94,56
I00137,O00031,P0202,4,4470.79,73
I00138,O00756,P0039,2,4148.13,84
I00139,O00430,P0122,3,5224.46,96
I00140,O00708,P0452,4,7397.12,41
I00141,O00805,P0237,-5,4520.58,17
I00142,O00339,P0048,2,6713.15,77
I00143,O00401,P0426,5,5760.74,26
I00144,O00396,P0255,4,4735.72,13
I00145,O00463,P0047,3,2166.73,38
I00146,O00692,P0354,1,4755.27,4
I00147,O00192,P0385,5,4685.79,49
I00148,O00299,P0093,3,6327.34,8
I00149,O00531,P0037,4,2790.24,41
I00150,O00114,P0240,4,1564.99,53
I00151,O00399,P0240,4,2521.52,26
I00152,O00318,P0245,2,2646.51,90
I00153,O00589,P0099,4,944.16,75
I00154,O00702,P0380,2,7174.43,25
I00155,O00457,P0459,1,2288.57,51
I00156,O00539,P0072,5,4246.65,72
I00157,O00590,P0119,4,3217.11,11
I00158,O00941,P0246,3,1574.26,89
I00159,O00844,P0097,3,5722.55,22
I00160,O00922,P0071,4,7254.24,55
I00161,O00675,P0395,4,3292.18,72
I00162,O00969,P0429,1,3763.09,20
I00163,O00551,P0239,3,1274.82,8
I00164,O00422,P0236,2,3796.85,70
I00165,O00079,P0238,1,8612.11,64
I00166,O00169,P0081,3,1532.12,64
I00167,O00075,P0209,1,6793.74,86
I00168,O00764,P0245,4,2593.95,24
I00169,O00257,P0258,4,930.79,17
I00170,O00476,P0024,3,2900.23,8
I00171,O00249,P0396,1,4127.34,56
I00172,O00286,P0047,2,2402.54,21
I00173,O00182,P0118,1,486.65,68
I00174,O00688,P0188,4,8818.59,86
I00175,O00367,P0167,3,2398.42,91
I00176,O00546,P0409,1,5660.68,89
I00177,O00831,P0279,1,7524.79,84
I00178,O00316,P0212,1,6480.14,76
I00179,O00387,P0001,1,6256.12,31
I00180,O00205,P0059,3,743.65,53
I00181,O00346,P0344,1,895.69,87
I00182,O00904,P0159,1,2052.63,85
I00183,O00046,P0014,2,3338.1,13
I00184,O00642,P0401,3,1996.47,26
I00185,O00439,P0185,5,5548.95,27
I00186,O00178,P0028,1,5262.96,83
I00187,O00218,P0067,-3,2040.84,8
I00188,O00378,P0146,3,4747.15,27
I00189,O00614,P0298,4,3670.61,13
I00190,O00945,P0354,5,5552.38,21
I00191,O00615,P0371,3,6313.08,80
I00192,O00996,P0282,4,5417.77,17
I00193,O00780,P0071,3,8303.89,40
I00194,O00019,P0336,4,6967.17,74
I00195,O00656,P0072,4,5377.16,64
I00196,O00014,P0247,5,1573.64,78
I00197,O00756,P0471,1,5854.39,31
I00198,O00141,P0267,5,3439.34,37
I00199,O00210,P0299,2,2055.94,30
I00200,O00455,P0091,5,3901.75,42
I00201,O00660,P0351,2,7872.81,5
I00202,O00425,P0184,5,5975.15,36
I00203,O00751,P0277,1,6222.06,31
I00204,O00929,P0372,2,6659.89,31
I00205,O00391,P0059,2,987.12,23
I00206,O00067,P0456,4,1412.59,8
I00207,O00145,P0031,2,7727.89,16
I00208,O00563,P0428,1,2163.86,26
I00209,O00437,P0240,2,2255.03,39
I00210,O00251,P0214,2,2464.92,77
I00211,O00591,P0373,2,2127.66,81
I00212,O00801,P0189,2,2334.5,46
I00213,O00483,P0179,4,4311.3,64
I00214,O00779,P0261,5,483.59,61
I00215,O00438,P0193,1,4466.59,97
I00216,O00157,P0448,3,6126.73,22
I00217,O00314,P0085,3,3284.46,48
I00218,O00074,P0137,5,5636.28,91
I00219,O00939,P0307,4,4314.42,1
I00220,O00384,P0149,5,1950.16,53
I00221,O00383,P0485,4,1116.52,39
I00222,O00907,P0082,5,2171.44,15
I00223,O00167,P0063,4,747.0,55
I00224,O00770,P0414,3,5938.42,65
I00225,O00378,P0023,4,5641.61,83
I00226,O00754,P0235,4,3580.9,61
I00227,O00371,P0176,1,3486.54,86
I00228,O00661,P0499,1,5888.02,77
I00229,O00151,P0334,4,3312.51,77
I00230,O00862,P0034,5,3001.43,14
I00231,O00939,P0006,1,856.69,90
I00232,O00083,P0221,5,2865.76,24
I00233,O00438,P0266,4,6567.01,38
I00234,O00675,P0068,5,7925.38,75
I00235,O00771,P0113,3,4828.99,93
I00236,O00587,P0152,1,2312.64,44
I00237,O00215,P0203,2,5810.77,50
I00238,O00173,P0012,-3,2466.8,0
I00239,O00714,P0485,1,1140.02,53
I00240,O00175,P0075,3,3666.88,23
I00241,O00187,P0234,2,2431.37,14
I00242,O00218,P0016,4,1363.57,7
I00243,O00197,P0235,2,3611.52,52
I00244,O00640,P0375,4,2240.19,81
I00245,O00088,P0499,2,6875.77,35
I00246,O00600,P0109,1,3098.0,62
I00247,O00273,P0287,-1,4055.79,0
I00248,O00043,P0387,5,928.33,66
I00249,O00533,P0163,1,625.59,97
I00250,O00485,P0183,3,8151.51,77
I00251,O00699,P0372,4,6574.23,40
I00252,O00682,P0362,2,4333.27,78
I00253,O00895,P0220,1,6611.19,12
I00254,O00716,P0293,1,3074.46,17
I00255,O00890,P0181,1,2994.3,89
I00256,O00634,P0001,2,6001.61,60
I00257,O00193,P0090,5,1674.39,81
I00258,O00369,P0044,-3,6148.0,94
I00259,O00240,P0285,3,1491.73,51
I00260,O00357,P0063,5,870.24,60
I00261,O00301,P0082,1,3150.1,91
I00262,O00898,P0144,2,384.49,91
I00263,O00510,P0227,5,8988.55,38
I00264,O00479,P0322,5,3061.44,57
I00265,O00554,P0457,1,191.61,27
I00266,O00676,P0048,2,7207.03,13
I00267,O00030,P0128,4,1927.76,41
I00268,O00226,P0471,4,6885.3,85
I00269,O00687,P0360,4,1742.69,17
I00270,O00504,P0335,5,5019.55,88
I00271,O00955,P0034,3,3900.67,76
I00272,O00387,P0289,1,7780.02,95
I00273,O00804,P0343,4,4302.71,55
I00274,O00119,P0281,2,6227.46,14
I00275,O00607,P0310,1,640.83,95
I00276,O00131,P0144,1,444.81,48
I00277,O00319,P0011,5,2933.82,68
I00278,O00434,P0239,2,1298.19,46
I00279,O00617,P0001,2,5701.56,13
I00280,O00873,P0045,-4,7336.76,18
I00281,O00512,P0176,3,3578.78,18
I00282,O00765,P0108,5,5092.98,89
I00283,O00317,P0467,1,2039.75,88
I00284,O00869,P0309,1,692.07,61
I00285,O00722,P0131,2,1763.03,7
I00286,O00734,P0246,3,1343.83,93
I00287,O00054,P0092,2,2370.19,99
I00288,O00745,P0326,2,3462.22,84
I00289,O00562,P0245,2,2582.66,54
I00290,O00776,P0219,4,3467.03,9
I00291,O00290,P0270,5,1807.01,24
I00292,O00135,P0133,5,5267.62,74
I00293,O00727,P0070,1,6576.37,83
I00294,O00453,P0036,2,1159.61,37
I00295,O00824,P0109,2,4190.07,94
I00296,O00877,P0087,1,2407.61,86
I00297,O00438,P0492,2,1138.37,21
I00298,O00998,P0435,1,4182.53,6
I00299,O00666,P0075,1,4091.83,55
I00300,O00414,P0472,2,1691.96,15
I00301,O00310,P0329,2,8046.34,22
I00302,O00815,P0322,4,4168.37,11
I00303,O00666,P0038,4,1104.22,80
I00304,O00123,P0283,4,4275.76,15
I00305,O00931,P0144,4,371.18,2
I00306,O00587,P0222,5,6774.74,88
I00307,O00186,P0103,1,1957.64,82
I00308,O00129,P0314,4,3396.84,8
I00309,O00833,P0317,5,6317.75,50
I00310,O00803,P0474,5,7906.14,62
I00311,O00599,P0480,1,772.27,83
I00312,O00213,P0342,1,1126.21,15
I00313,O00712,P0327,2,2418.45,71
I00314,O00126,P0356,4,4316.7,73
I00315,O00090,P0397,2,3960.33,96
I00316,O00128,P0107,1,676.03,46
I00317,O00968,P0142,5,7885.15,31
I00318,O00969,P0427,3,2974.52,100
I00319,O00456,P0395,3,3190.09,62
I00320,O00361,P0015,3,7921.6,65
I00321,O00679,P0416,2,3950.08,30
I00322,O00307,P0159,1,3234.69,27
I00323,O00222,P0498,2,584.62,35
I00324,O00433,P0290,2,133.94,32
I00325,O00926,P0253,3,4132.84,58
I00326,O00693,P0201,1,4762.46,88
I00327,O00073,P0437,2,6582.93,34
I00328,O00578,P0212,2,7309.82,65
I00329,O00842,P0464,5,2807.71,100
I00330,O00988,P0136,4,6429.71,9
I00331,O00113,P0307,3,5825.1,52
I00332,O00092,P0118,1,508.69,42
I00333,O00818,P0095,3,2712.81,1
I00334,O00993,P0227,1,6430.52,13
I00335,O00746,P0394,1,4170.94,75
I00336,O00358,P0465,4,1360.21,36
I00337,O00102,P0166,5,7486.77,21
I00338,O00399,P0320,3,5737.86,94
I00339,O00904,P0142,5,8688.06,61
I00340,O00010,P0123,5,8068.05,91
I00341,O00147,P0354,2,4288.87,94
I00342,O00743,P0102,3,8033.43,47
I00343,O00429,P0099,2,842.65,23
I00344,O00818,P0139,4,5456.96,36
I00345,O00534,P0167,3,3706.67,29
I00346,O00090,P0043,3,1145.93,52
I00347,O00650,P0499,3,5594.03,93
I00348,O00170,P0074,2,2937.19,10
I00349,O00505,P0093,3,6827.59,1
I00350,O00955,P0078,4,6227.98,61
I00351,O00694,P0390,4,4904.68,89
I00352,O00632,P0097,1,3977.24,95
I00353,O00720,P0064,1,6114.77,44
I00354,O00678,P0237,2,7831.14,67
I00355,O00460,P0452,5,9192.12,86
I00356,O00180,P0165,5,326.28,17
I00357,O00053,P0104,5,5655.1,48
I00358,O00116,P0298,2,3326.07,86
I00359,O00872,P0091,2,3955.77,15
I00360,O00301,P0254,3,3665.58,0
I00361,O00946,P0461,5,5209.39,82
I00362,O00037,P0094,5,935.07,79
I00363,O00007,P0411,4,5345.04,42
I00364,O00006,P0362,3,4202.92,92
I00365,O00010,P0098,2,737.03,62
I00366,O00527,P0256,2,8656.53,52
I00367,O00008,P0139,1,4446.71,84
I00368,O00405,P0328,3,1701.61,46
I00369,O00550,P0142,4,8528.35,13
I00370,O00450,P0093,4,4653.75,45
I00371,O00905,P0402,-4,6168.43,25
I00372,O00042,P0031,1,4849.94,53
I00373,O00165,P0208,3,4713.51,61
I00374,O00501,P0482,3,5864.91,87
I00375,O00783,P0129,2,7555.42,51
I00376,O00760,P0252,5,8886.79,49
I00377,O00111,P0334,2,4520.46,16
I00378,O00014,P0087,2,2664.32,30
I00379,O00351,P0340,1,5409.71,76
I00380,O00297,P0207,1,2899.3,10
I00381,O00157,P0362,4,5217.67,23
I00382,O00118,P0015,2,9039.38,89
I00383,O00440,P0398,2,665.74,90
I00384,O00515,P0013,1,3926.55,24
I00385,O00153,P0030,5,1574.93,16
I00386,O00197,P0328,4,2292.91,54
I00387,O00094,P0454,1,5944.47,48
I00388,O00717,P0256,4,7574.02,29
I00389,O00491,P0307,2,3922.43,54
I00390,O00276,P0082,1,2730.64,44
I00391,O00917,P0324,4,1699.33,5
I00392,O00763,P0180,1,2671.78,36
I00393,O00622,P0242,4,2513.36,23
I00394,O00373,P0180,3,2693.66,14
I00395,O00700,P0425,1,4584.92,16
I00396,O00830,P0465,3,1120.33,99
I00397,O00381,P0150,5,4246.73,35
I00398,O00090,P0364,2,1624.49,16
I00399,O00601,P0001,5,6888.9,83
I00400,O00457,P0267,2,4626.13,9
I00401,O00309,P0232,5,5382.34,97
I00402,O00158,P0237,2,4562.39,24
I00403,O00259,P0033,4,6142.73,97
I00404,O00917,P0415,5,962.06,80
I00405,O00070,P0260,1,5837.32,67
I00406,O00171,P0106,5,3769.66,89
I00407,O00979,P0117,2,2392.09,88
I00408,O00408,P0202,2,4807.66,68
I00409,O00170,P0383,5,6126.5,65
I00410,O00400,P0446,4,2457.06,34
I00411,O00164,P0229,2,6134.81,75
I00412,O00810,P0144,1,371.83,64
I00413,O00873,P0461,5,4921.18,90
I00414,O00176,P0385,3,4767.98,68
I00415,O00655,P0419,2,3866.61,35
I00416,O00810,P0340,2,4171.34,31
I00417,O00002,P0461,2,6382.32,80
I00418,O00333,P0073,5,1342.25,90
I00419,O00137,P0464,5,3327.84,78
I00420,O00059,P0406,3,7363.99,1
I00421,O00989,P0289,3,5479.73,32
I00422,O00889,P0068,1,7517.76,99
I00423,O00764,P0035,5,704.5,83
I00424,O00650,P0217,3,7432.63,26
I00425,O00276,P0323,4,2622.89,80
I00426,O00238,P0091,4,3882.96,55
I00427,O00491,P0485,3,914.7,23
I00428,O00884,P0458,4,2730.11,72
I00429,O00185,P0147,4,211.58,2
I00430,O00182,P0048,3,7647.93,87
I00431,O00147,P0415,5,784.0,31
I00432,O00994,P0279,4,7005.76,92
I00433,O00769,P0346,5,7773.89,77
I00434,O00022,P0477,1,475.18,1
I00435,O00789,P0130,1,4530.43,18
I00436,O00990,P0251,-5,5295.74,13
I00437,O00347,P0055,5,768.32,10
I00438,O00778,P0227,2,7946.94,56
I00439,O00491,P0006,2,734.13,7
I00440,O00643,P0269,5,2784.13,2
I00441,O00304,P0064,1,4611.76,53
I00442,O00230,P0280,-2,5546.66,54
I00443,O00672,P0235,4,3678.54,87
I00444,O00733,P0466,4,3354.36,14
I00445,O00113,P0014,4,2948.51,36
I00446,O00342,P0080,3,532.04,10
I00447,O00183,P0014,1,3364.49,42
I00448,O00436,P0400,5,3005.48,85
I00449,O00294,P0206,3,5481.75,13
I00450,O00678,P0169,3,2721.18,33
I00451,O00883,P0166,1,7615.83,19
I00452,O00400,P0272,2,3664.24,100
I00453,O00116,P0200,4,1951.85,93
I00454,O00331,P0482,3,7336.3,23
I00455,O00507,P0171,4,892.91,88
I00456,O00652,P0490,4,2610.68,83
I00457,O00563,P0304,2,3204.8,68
I00458,O00842,P0303,4,4635.12,10
I00459,O00540,P0318,5,5509.91,88
I00460,O00241,P0044,2,4646.76,26
I00461,O00486,P0441,1,922.13,14
I00462,O00370,P0325,1,3003.21,99
I00463,O00148,P0134,2,2993.11,70
I00464,O00848,P0386,4,5434.15,95
I00465,O00713,P0114,2,7810.97,48
I00466,O00435,P0119,1,4065.45,89
I00467,O00076,P0029,1,3662.02,76
I00468,O00375,P0437,2,4847.11,31
I00469,O00852,P0486,-1,3296.12,19
I00470,O00144,P0101,2,4787.83,89
I00471,O00740,P0244,3,2298.25,100
I00472,O00160,P0145,1,4590.35,82
I00473,O00178,P0075,1,4523.93,1
I00474,O00697,P0478,4,7016.44,58
I00475,O00265,P0113,5,4927.36,64
I00476,O00434,P0094,3,933.35,34
I00477,O00974,P0086,1,4607.01,27
I00478,O00225,P0126,4,1428.78,95
I00479,O00080,P0171,5,1105.95,59
I00480,O00658,P0484,4,541.37,48
I00481,O00381,P0111,2,3336.99,24
I00482,O00080,P0099,3,692.35,99
I00483,O00289,P0110,-3,1878.05,13
I00484,O00012,P0049,1,7767.28,39
I00485,O00654,P0477,2,767.35,30
I00486,O00584,P0010,3,4964.09,72
I00487,O00323,P0033,4,3822.65,39
I00488,O00770,P0143,1,2616.8,50
I00489,O00770,P0398,5,755.82,45
I00490,O00100,P0460,2,6175.58,94
I00491,O00827,P0275,5,6281.68,3
I00492,O00489,P0243,5,4299.71,4
I00493,O00699,P0145,3,6033.46,80
I00494,O00238,P0436,1,2673.27,87
I00495,O00165,P0047,2,2579.32,64
I00496,O00624,P0419,5,5286.6,98
I00497,O00135,P0041,3,4379.33,46
I00498,O00442,P0401,5,1785.0,91
I00499,O00626,P0364,4,1408.61,19
I00500,O00510,P0265,5,3424.05,1
I00501,O00317,P0432,2,5914.73,100
I00502,O00466,P0172,1,4220.1,37
I00503,O00591,P0224,2,5229.64,11
I00504,O00791,P0090,1,2299.7,60
I00505,O00453,P0183,3,7712.37,17
I00506,O00500,P0088,1,366.3,36
I00507,O00635,P0432,4,7151.61,16
I00508,O00866,P0152,4,2136.72,40
I00509,O00424,P0196,3,5050.93,33
I00510,O00660,P0054,1,410.76,31
I00511,O00874,P0050,-5,3608.57,48
I00512,O00875,P0349,2,3800.18,49
I00513,O00358,P0256,4,6890.59,82
I00514,O00477,P0059,5,753.68,23
I00515,O00945,P0411,1,4709.29,55
I00516,O00067,P0197,2,2477.54,77
I00517,O00760,P0010,4,4718.03,35
I00518,O00160,P0421,4,4933.73,18
I00519,O00033,P0390,2,5136.47,99
I00520,O00828,P0269,4,2496.99,55
I00521,O00217,P0445,4,3854.26,97
I00522,O00651,P0162,4,4912.32,18
I00523,O00084,P0179,1,3940.6,91
I00524,O00538,P0087,4,1923.41,33
I00525,O00095,P0173,2,3472.85,54
I00526,O00305,P0189,3,1900.55,44
I00527,O00549,P0032,4,4004.81,20
I00528,O00710,P0484,4,596.33,1
I00529,O00612,P0136,5,5003.33,92
I00530,O00332,P0467,5,2230.98,93
I00531,O00919,P0013,-3,3600.05,18
I00532,O00117,P0418,4,2746.94,86
I00533,O00740,P0137,4,4442.11,57
I00534,O00655,P0214,2,3281.61,12
I00535,O00193,P0312,1,2874.5,69
I00536,O00222,P0395,2,3677.78,24
I00537,O00380,P0248,5,6380.75,2
I00538,O00515,P0332,3,4582.28,15
I00539,O00467,P0416,4,3165.27,45
I00540,O00437,P0348,3,5567.01,97
I00541,O00181,P0287,3,3453.85,47
I00542,O00167,P0370,2,3177.32,48
I00543,O00706,P0200,3,2062.92,81
I00544,O00961,P0160,3,7897.06,12
I00545,O00107,P0390,1,3048.97,2
I00546,O00107,P0135,5,7333.12,96
I00547,O00103,P0265,5,4815.12,64
I00548,O00684,P0094,5,655.32,53
I00549,O00466,P0186,2,6830.88,14
I00550,O00974,P0263,2,5095.55,59
I00551,O00661,P0023,4,5663.31,94
I00552,O00384,P0190,-4,8377.47,64
I00553,O00675,P0362,3,3975.06,53
I00554,O00931,P0275,-2,5147.85,1
I00555,O00384,P0395,1,4831.69,66
I00556,O00175,P0485,5,1516.29,55
I00557,O00401,P0294,2,5688.93,82
I00558,O00821,P0272,4,4729.63,54
I00559,O00400,P0196,2,6428.74,22
I00560,O00530,P0343,4,3329.71,29
I00561,O00130,P0449,1,6525.84,80
I00562,O00864,P0028,5,8441.35,33
I00563,O00331,P0004,5,558.61,11
I00564,O00644,P0176,1,3748.2,19
I00565,O00557,P0253,1,6391.67,10
I00566,O00761,P0015,5,8476.16,58
I00567,O00669,P0474,3,8239.24,38
I00568,O00252,P0078,2,6213.68,100
I00569,O00676,P0141,4,2572.48,10
I00570,O00654,P0416,2,4269.33,13
I00571,O00611,P0247,1,1454.74,18
I00572,O00185,P0254,3,3241.64,63
I00573,O00213,P0390,3,3748.92,62
I00574,O00499,P0421,1,4958.01,9
I00575,O00385,P0063,2,1113.78,81
I00576,O00185,P0364,4,1171.32,22
I00577,O00876,P0248,5,3928.96,43
I00578,O00629,P0083,3,7262.51,0
I00579,O00261,P0107,2,840.48,24
I00580,O00024,P0222,-5,6928.0,97
I00581,O00374,P0435,2,3297.03,27
I00582,O00226,P0392,1,3903.97,88
I00583,O00494,P0269,2,2241.17,11
I00584,O00668,P0354,3,4062.56,95
I00585,O00970,P0366,4,5592.48,24
I00586,O00704,P0486,3,3348.46,91
I00587,O00106,P0159,3,2810.67,98
I00588,O00814,P0232,5,3946.59,92
I00589,O00457,P0026,4,5857.18,95
I00590,O00638,P0362,3,3555.45,49
I00591,O00362,P0067,4,1937.87,80
I00592,O00911,P0247,1,1358.55,65
I00593,O00301,P0495,3,7524.47,82
I00594,O00031,P0443,5,2049.89,41
I00595,O00367,P0452,4,6168.55,27
I00596,O00799,P0175,3,5501.94,1
I00597,O00735,P0481,3,2812.32,59
I00598,O00921,P0161,5,3201.18,8
I00599,O00218,P0123,4,7394.35,13
I00600,O00623,P0478,5,7010.07,85
I00601,O00662,P0135,1,7014.58,96
I00602,O00328,P0251,4,6107.35,6
I00603,O00282,P0290,4,169.77,15
I00604,O00335,P0214,4,2715.2,30
I00605,O00019,P0381,-5,8105.01,73
I00606,O00292,P0092,1,1495.09,51
I00607,O00941,P0322,1,3852.99,43
I00608,O00098,P0286,1,6672.54,53
I00609,O00772,P0098,3,873.18,10
I00610,O00506,P0322,5,4039.73,50
I00611,O00466,P0319,3,5917.1,82
I00612,O00961,P0047,1,2142.25,3
I00613,O00011,P0246,2,1276.42,41
I00614,O00091,P0384,4,3641.7,47
I00615,O00957,P0287,5,3925.21,6
I00616,O00045,P0251,3,5731.77,38
I00617,O00705,P0329,1,7729.43,48
I00618,O00948,P0279,3,5864.21,58
I00619,O00883,P0199,1,1961.05,74
I00620,O00685,P0453,4,1605.74,67
I00621,O00678,P0435,2,4222.55,35
I00622,O00495,P0316,3,635.27,33
I00623,O00362,P0182,3,1051.19,31
I00624,O00077,P0030,2,2380.39,7
I00625,O00222,P0029,-2,3643.32,49
I00626,O00349,P0025,2,2190.44,75
I00627,O00321,P0281,5,8159.7,39
I00628,O00869,P0130,4,5990.76,16
I00629,O00395,P0152,2,2542.15,79
I00630,O00410,P0443,5,2162.29,35
I00631,O00315,P0046,4,6347.07,73
I00632,O00898,P0218,1,1232.58,14
I00633,O00472,P0455,-2,4500.18,3
I00634,O00464,P0367,4,3133.59,15
I00635,O00442,P0398,5,672.14,50
I00636,O00342,P0199,5,1825.31,34
I00637,O00665,P0085,3,3145.14,54
I00638,O00413,P0125,2,4261.94,35
I00639,O00532,P0198,5,6799.06,87
I00640,O00982,P0157,1,215.5,14
I00641,O00590,P0290,1,153.75,8
I00642,O00232,P0257,5,4025.81,89
I00643,O00104,P0432,4,4820.79,88
I00644,O00176,P0410,3,4232.36,44
I00645,O00295,P0145,3,7002.84,12
I00646,O00718,P0074,2,3013.66,94
I00647,O00705,P0335,3,5586.17,40
I00648,O00341,P0065,1,2329.33,18
I00649,O00439,P0191,1,973.0,22
I00650,O00175,P0181,3,3248.1,1
I00651,O00486,P0080,5,716.51,62
I00652,O00047,P0422,2,4179.01,72
I00653,O00538,P0476,3,669.13,96
I00654,O00103,P0061,2,4341.13,94
I00655,O00753,P0247,3,1701.46,69
I00656,O00260,P0202,3,4441.65,1
I00657,O00342,P0091,3,4204.34,99
I00658,O00277,P0341,5,6043.72,93
I00659,O00421,P0180,1,3597.0,84
I00660,O00032,P0177,2,4061.57,94
I00661,O00763,P0026,4,4666.98,48
I00662,O00899,P0273,1,2086.99,69
I00663,O00898,P0249,4,4480.83,33
I00664,O00401,P0143,3,3150.28,35
I00665,O00594,P0477,3,621.43,43
I00666,O00815,P0126,5,1484.3,44
